"Organization","Permit_Adminid","Permit_Name","Facility_Name","Facility_Status","Locality","MP_Name","MP_Type","Intake_Capacity_(MGD)","Source_of_Capacity_Estimate","Exemption_Code","Max_Pre-89_(MGY)","VDH_Total_Pumping_Capacity_(MGD)","401_Certification_Limit_(MGD)","Max_Pre-89_(MGM)"
"1757 Golf LLC","90374","1757 GOLF CLUB(1757 GOLF CLUB IRRIGATION)","1757 GOLF CLUB","active","Loudoun","Pond 17","Surface Water Intake","0","","0","0","0","0","0"
"1757 Golf LLC","90374","1757 GOLF CLUB(1757 GOLF CLUB IRRIGATION)","1757 GOLF CLUB","active","Loudoun","Pond 4","Surface Water Intake","0","","0","0","0","0","0"
"Byron E Wates Jr","69971","24784 James Monroe Hwy, Aldie VA 20105(AREA LANDSCAPING INC)","24784 James Monroe Hwy, Aldie VA 20105","abandoned","Loudoun","FARM POND      FAIRFAX CO","Surface Water Intake","0","","0","0","0","0","0"
"Byron E Wates Jr","69971","24784 James Monroe Hwy, Aldie VA 20105(AREA LANDSCAPING INC)","24784 James Monroe Hwy, Aldie VA 20105","abandoned","Loudoun","FARM POND      LOUDOUN CO","Surface Water Intake","0","","0","0","0","0","0"
"","0","","711 Village Special Plan Area (Proposed)","proposed","Powhatan","Proposed Surface Water source- 711 Village Special Plan Area","Surface Water Intake","0","","0","0","0","0","0"
"Stafford County","68808","ABEL LAKE WTP(STAFFORD COUNTY)","ABEL LAKE WTP","inactive","Stafford","ABEL LAKE","Surface Water Intake","6","VWUDS Form","1","1154.44","0","0","101.89"
"Lynchburg, City Of","69708","ABERT WTP (LYNCHBURG)","ABERT WTP ","active","Bedford County","JAMES RIVER ","Surface Water Intake","24","VWUDS Form","1","1362.929","0","0","310.589"
"","0","","Accomack (Agriculture)","proposed","Accomack","Accomack (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Accomack (Community Water System)","proposed","Accomack","Accomack (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Accomack (Large Self-Supplied User)","proposed","Accomack","Accomack (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Wiiliam E Schaefer","71350","ACOMA FARMS INC","ACOMA FARMS INC","inactive","Powhatan","FIGHTING CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Wiiliam E Schaefer","71350","ACOMA FARMS INC","ACOMA FARMS INC","inactive","Powhatan","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Donald Andrews","70720","A.H. Burton(Turner Family Farms LLC)","A.H. Burton","active","Dinwiddie","Burton Farm Pond (dug)","Surface Water Intake","0","","0","0","0","0","0"
"Dale Edward Akers","68779","AKERS FARM","AKERS FARM","active","Carroll","FARM POND???","Surface Water Intake","0","","5","0","0","0","0"
"Alan Hudson","69183","Surface Water Reporting - [no name]","ALAN HUDSON","inactive","Halifax","POND ?????","Surface Water Intake","0","","5","0","0","0","0"
"A L Bailey","69286","A L BAILEY FARMS","A L BAILEY FARMS","inactive","Sussex","FARM POND???","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Albemarle (Agriculture)","proposed","Albemarle","Albemarle (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Albemarle (Community Water System)","proposed","Albemarle","Albemarle (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Albemarle (Large Self-Supplied User)","proposed","Albemarle","Albemarle (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Al Easley","69852","Surface Water Reporting - [no name]","AL EASLEY","inactive","Pittsylvania","??? CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Al Easley","69852","Surface Water Reporting - [no name]","AL EASLEY","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Northern Virginia Regional Park Authority","70612","ALGONKIAN REGIONAL PARK(ALGONKIAN REGIONAL PARK)","ALGONKIAN REGIONAL PARK","active","Loudoun","Potomac River","Surface Water Intake","0.288","VWUDS Form","1","12.386","0","0","3.04"
"Alice Barnes","69260","Surface Water Reporting - [no name]","ALICE BARNES","inactive","Dinwiddie","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Alleghany (Agriculture)","proposed","Alleghany","Alleghany (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Alleghany (Community Water System)","proposed","Alleghany","Alleghany (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Alleghany (Large Self-Supplied User)","proposed","Alleghany","Alleghany (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Altavista Country Club","69122","ALTAVISTA COUNTRY CLUB(ALTAVISTA COUNTRY CLUB)","ALTAVISTA COUNTRY CLUB","active","Pittsylvania","SYCAMORE CREEK","Surface Water Intake","0","","5","8.475","0","0","2.722"
"Dominion Generation","71567","ALTAVISTA POWER STATION(ALTAVISTA POWER STATION)","ALTAVISTA POWER STATION","active","Campbell","ROANOKE RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Dominion Generation","163232","Dominion - Altavista Power Station","ALTAVISTA POWER STATION","active","Campbell","ROANOKE RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Altavista, Town Of","70030","ALTAVISTA SERVICE AREA(ALTAVISTA)","ALTAVISTA SERVICE AREA","active","Campbell","MCMINNIS SPRING","Surface Water Intake","0","","0","126.967","1.728","0","11.346"
"Altavista, Town Of","70030","ALTAVISTA SERVICE AREA(ALTAVISTA)","ALTAVISTA SERVICE AREA","active","Campbell","REYNOLDS SPRING","Surface Water Intake","0","","0","104.496","1.728","0","9.672"
"Altavista, Town Of","69942","ALTAVISTA WTP(ALTAVISTA)","ALTAVISTA WTP","active","Campbell","REED CREEK","Surface Water Intake","2.5","VWUDS Form","1","398.671","9.072","0","45.043"
"Altavista, Town Of","69942","ALTAVISTA WTP(ALTAVISTA)","ALTAVISTA WTP","active","Campbell","ROANOKE RIVER","Surface Water Intake","5","VWUDS Form","1","522.7","9.072","0","51.5"
"Alvin Meadows","69165","Surface Water Reporting - [no name]","ALVIN MEADOWS","inactive","Madison","??","Surface Water Intake","0","","0","0","0","0","0"
"Alvin Rice Jr","69199","Surface Water Reporting - [no name]","ALVIN RICE JR","inactive","Brunswick","DUG POND 1  7 FEET","Surface Water Intake","0","","5","0","0","0","0"
