CREATEDORMIGRATEDTOEXISTING,VAHYDRO_HYDROID,VAHYDRO_NAME,VAHYDRO_ADDR1,VAHYDRO_CITY,CEDS_FAC_ID,CEDS_FAC_NAME,CEDS_FAC_M_ADDR1,CEDS_FAC_M_CITY,CEDS_FAC_L_ADDR1,CEDS_FAC_L_CITY,FACILITY_NAME_FORMATTING_ERROR,FACILITY_ADDRESS_FORMATTING_ERROR,OWS Staff Found CEDS Match (CEDS Facility ID),Updated VAHydro Facility Name/Address to Match,Comments
Created,67012,AEC Virginia,32056 East Circle,Boykins,,,,,,,,,,,
Created,67178,AL Mathews,"T. Lee Byrd & Sons, Inc.",Onancock,,,,,,,,"Address not properly formatted.",,,
Created,74466,ALTAVISTA POWER STATION,5000 DOMINION BLVD,GLEN ALLEN,,,,,,,,,,,
Created,72446,AMHERST (TOWN) WTP,PO BOX 280,AMHERST,,,,,,,Name has special characters.,,,,
Created,72578,AMHERST COUNTY SERVICE AREA - LANUM WTP,PO BOX 100,MADISON HEIGHTS,,,,,,,,,,,
Created,74367,APPALACHIA SERVICE AREA,PO BOX 112,APPALACHIA,,,,,,,,,,,Service Area should be created new in CEDS since it isnt in there already. 
Created,73537,APPALACHIA WTP,PO BOX 112,APPALACHIA,,,,,,,,,,,Needs to be mapped cause address is wrong. 
Migrated to Existing,67019,Accawmacke Ornamentals,22376 Front Street,Accomac,200000198544,Accawmacke Ornamentals,22376 Front Street,Accomac,,,,,,,
Created,67253,Accawmacke Plantation,RFD 1 Box 4,Cape Charles,,,,,,,,,,,
Created,67301,Accomack County Office Buildings Waterworks,23296 Courthouse Avenue,Accomac,,,,,,,,,,,
Created,410352,Achsah Acres,,Madison,,,,,,,,,,,
Created,66973,Acquinton Elementary School and Hmltn Holmes School,PO Box 185,King William,,,,,,,,,,,
Migrated to Existing,67078,Adams Ross,Route 1 Box 444 Mctempkin Road,Parksley,200000198430,Adams Ross,Route 1 Box 444 Mctempkin Road,Parksley,,,,,,,
Created,414953,Against the Wind Farm,,,,,,,,,,,,,
Created,67157,Agri-Business Industrial Park,Agri-Park-Southampton Co.,Courtland,,,,,,,,"Address not properly formatted.",,,
Created,67297,"Albert G. Horton, Jr. Memorial Veterans Cemetery",Lake Prince Drive,Suffolk,,,,,,,Name has special characters.,,,,
Migrated to Existing,66963,Alpha Water Company -Glendale Acres,PO Box 27186,Richmond,200000198627,Alpha Water Company Glendale Acres,PO Box 27186,Richmond,,,,,,,
Migrated to Existing,66931,Alpha Water Company -Windsor Park,PO Box 27186,Richmond,200000198628,Alpha Water Company Windsor Park,PO Box 27186,Richmond,,,,,,,
Created,67096,Alsco,PO Box 5513,Virginia Beach,,,,,,,,,,,
Created,400209,Amelia Quarry,12301 Patrick Henry Highway,Amelia Courthouse,,,,,,,,,,,
Created,66997,American Waste Industries Inc Incendere,508 East Indian River Road,Norfolk,,,,,,,,,,,
