fac_hydroid	hydroid	ftype	name	riverseg	tnt	exempt_value
66851	62704	agriculture	LANG IRRIGATION POND	ES0_0000_0000	tidal	0.00000000000000000000
66862	58757	irrigation	HOLLY GROVE FARM POND	EL0_6610_0000	tidal	0.000000000000000000000
66874	60750	agriculture	ROBERTS FARM POND	EL0_6920_0000	tidal	0.00000000000000000000
66880	59267	commercial	MAIN PUMPHOUSE RESERVOIR	PL7_4981_0000	tidal	0.810554795
66884	64166	municipal	NORTHWEST RIVER	MN3_8150_0000	tidal	16.8
66893	60020	commercial	POND WITHDRAWAL	JB0_7660_0000	tidal	1.44
66897	62171	irrigation	FARM POND  50 ACRE FIELD	JB0_7760_0000	tidal	0.019529127744689049580849
66897	62883	irrigation	FARM POND FOR FILLING PONDS	JB0_7390_0000	tidal	0.044753841562879510450438
66897	64132	irrigation	FARM POND  35 ACRE FIELD	JB0_7390_0000	tidal	0.400273973
66897	64133	irrigation	FARM POND  120 ACRE FIELD	JB0_7390_0000	tidal	0.213424765463473936412904
66897	65493	irrigation	Farm pond	JB0_7390_0000	tidal	0.000000000000000000000000
66897	401032	irrigation	pump house 3	JB0_7390_0000	tidal	0.015442950160464352870877
66917	63862	irrigation	FARM POND - MIDWOOD	ES0_0000_0000	tidal	0.008522961943160586094920
66920	62026	commercial	WL FROM SPOTSWOOD POND	JB0_7072_0000	tidal	0.000000000000000000000000
66920	63130	commercial	WL FROM GOLDEN HORSESHOE POND	JB0_7072_0000	tidal	0.070967742
66920	64638	commercial	WL FROM REES JONES POND	JB0_7072_0000	tidal	0.000000000000000000000000
66939	63534	irrigation	DUG POND #1	EL0_6610_0000	tidal	0.000000000000000000000
66953	453077	irrigation	Surface #1	EL0_6610_0000	tidal	0.000000000000000000000
66989	60187	irrigation	WESSELLS/WATKINSON IRR POND	EL0_6190_0000	tidal	0.000000000000000000000
66994	60964	agriculture	TOWNFIELD FARM POND #2	EL0_7060_0000	tidal	0.00000000000000000000
66995	60424	agriculture	CONLEY POND	MN1_7730_8160	non-tidal	0.00000000000000000000
66995	60471	agriculture	NOTTOWAY RIVER	MN1_7730_8160	non-tidal	0.00000000000000000000
67015	59770	municipal	WALLER MILL RESERVOIR	YL0_6930_0000	tidal	50
67027	64203	irrigation	SURFACE #1	ES0_0000_0000	tidal	0.000000000000000000000
67028	59015	agriculture	KELLAM	EL0_7060_0000	tidal	0.00000000000000000000
67045	65282	municipal	LEE HALL RESERVOIR	JB0_7390_0000	tidal	67
67046	59867	agriculture	DUG POND 1  FIELD IRRIGATION	EL0_6550_0000	tidal	0.00000000000000000000
67046	63880	agriculture	DUG POND 2  RECHARGE FOR DP 1	EL0_6550_0000	tidal	0.00000000000000000000
67047	453075	irrigation	Surface #1: Hollies Church Branch	EL0_6550_0000	tidal	0.000000000000000000000
67050	63092	irrigation	Drewer Dug Pond #1	EL0_6610_0000	tidal	0.030896249392439985533545
67050	232281	irrigation	Doughty Pond Intake	EL0_6610_0000	tidal	0.075520112621913424281732
67051	60196	commercial	POND	PL0_5131_0000	tidal	0.1
67052	62466	manufacturing	PAMUNKEY RIVER	YP0_6782_0000	tidal	0.000000000000000000000000
67054	62008	irrigation	POND #2	EL0_6190_0000	tidal	0.000000000000000000000
67054	64365	irrigation	POND #1	EL0_6190_0000	tidal	0.000000000000000000000
67054	232511	irrigation	Pond # 3 AKA Outten East	EL0_6920_0000	tidal	0.000000000000000000000
67069	61625	commercial	JRCC POND	JB0_7390_0000	tidal	0.074548387
67080	60603	commercial	POND	PL7_4981_0000	tidal	1
67086	60349	commercial	GOLF COURSE LAKE	YL0_6931_0000	tidal	1.2
67109	62698	agriculture	BETHEL CHURCH IRRIGATION POND	EL0_6190_0000	tidal	0.00000000000000000000
67121	63993	agriculture	FARM POND	ES0_0000_0000	tidal	0.00000000000000000000
