"MP_hydroid","Hydrocode","Source_Type","MP.Name","Facility_hydroid","Facility","Use_Type","Latitude","Longitude","FIPS","Locality_NA","OWS.Planner","X2017","X2018","X2019","X2020","X2021","fiveyr_avg_mgy","Locality","GW_type","SW_Type"
15,"gwp_375318075334404","Groundwater","#4",67016,"Tyson Farms, Inc.","Manufacturing",37.889305555556,-75.56275,51001,NA,"rgreen",140.838,118.8109,111.5245,136.8594,140.3363,129.67,"Accomack County",1,NA
16,"gwp_375311075333903","Groundwater","#3",67016,"Tyson Farms, Inc.","Manufacturing",37.887138888889,-75.560333333333,51001,NA,"rgreen",NA,80.4224,75.3562,78.9199,85.9881,80.17,"Accomack County",1,NA
17,"gwp_375304075333202","Groundwater","#2",67016,"Tyson Farms, Inc.","Manufacturing",37.884527777778,-75.558972222222,51001,NA,"rgreen",68.7601,78.3997,82.745,89.276,90.7081,81.98,"Accomack County",1,NA
18,"gwp_375256075332301","Groundwater","Old Well #1",67016,"Tyson Farms, Inc.","Manufacturing",37.882388888889,-75.557,51001,NA,"rgreen",0,NA,NA,NA,NA,0,"Accomack County",1,NA
21,"gwp_374233075443001","Groundwater","#1 - Abandoned",67084,"Onancock Town Of","Municipal",37.709166666667,-75.741666666667,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
22,"gwp_373735075400001","Groundwater","DEQ #100-00004 - Abandoned",67084,"Onancock Town Of","Municipal",37.709166666667,-75.741666666667,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
23,"gwp_373740075400001","Groundwater","P-#4A",67227,"Perdue Farms Incorporated","Manufacturing",37.734083333333,-75.653444444444,51001,NA,"rgreen",7.6477,20.1144,22.2705,21.1674,26.6802,19.58,"Accomack County",1,NA
27,"gwp_373745075400001","Groundwater","P-#2",67227,"Perdue Farms Incorporated","Manufacturing",37.738638888889,-75.652666666667,51001,NA,"rgreen",169.8,173.067,148.3484,153.6024,170.4653,163.06,"Accomack County",1,NA
28,"gwp_375633075272104","Groundwater","#4",67083,"Chincoteague Town Of","Municipal",37.942388888889,-75.455722222222,51001,NA,"rgreen",43.573,54.57,47.284,43.71,44.69,46.77,"Accomack County",1,NA
29,"gwp_373755075400001","Groundwater","P-#3",67227,"Perdue Farms Incorporated","Manufacturing",37.741694444444,-75.655805555556,51001,NA,"rgreen",199.334,206.67298,202.242,205.2847,224.322,207.57,"Accomack County",1,NA
30,"gwp_374309075385801","Groundwater","P-#1",67227,"Perdue Farms Incorporated","Manufacturing",37.735722222222,-75.649527777778,51001,NA,"rgreen",55.433,73.314,63.7916,61.7673,60.8513,63.03,"Accomack County",1,NA
31,"gwp_375836075250801","Groundwater","#2",67257,"Captain's Cove Utility Company, Inc.","Commercial",37.994694444444,-75.417388888889,51001,NA,"rgreen",10.819,7.6576,8.3994,8.6016,7.7085,8.64,"Accomack County",1,NA
32,"gwp_375626075272305","Groundwater","#5",67083,"Chincoteague Town Of","Municipal",37.940888888889,-75.456333333333,51001,NA,"rgreen",0.802,0,0,0,0.002,0.16,"Accomack County",1,NA
33,"gwp_374234075443001","Groundwater","#2 - Abandoned",67084,"Onancock Town Of","Municipal",37.709444444445,-75.741666666667,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
34,"gwp_374259075445301","Groundwater","#4 - Abandoned",67084,"Onancock Town Of","Municipal",37.716388888889,-75.748055555556,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
35,"gwp_374259075445302","Groundwater","#5 - Abandoned",67084,"Onancock Town Of","Municipal",37.716388888889,-75.748333333333,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
36,"gwp_375911075252805","Groundwater","#3",67257,"Captain's Cove Utility Company, Inc.","Commercial",38.003222222222,-75.425833333333,51001,NA,"rgreen",2.47365,4.8496,4.440599,5.07061,3.662409,4.1,"Accomack County",1,NA
37,"gwp_374528075372101","Groundwater","Well #1",66899,"Riverside Shore Rehabilitation Center","Commercial",37.757777777778,-75.6225,51001,NA,"rgreen",0,0,0,0,0,0,"Accomack County",1,NA
38,"gwp_375323075260601","Groundwater","#1 (WQ)",67257,"Captain's Cove Utility Company, Inc.","Commercial",37.989444444444,-75.424527777778,51001,NA,"rgreen",5.268192,NA,0,0,0,1.32,"Accomack County",1,NA
39,"gwp_374420075393801","Groundwater","#4",67227,"Perdue Farms Incorporated","Manufacturing",37.738944444444,-75.660472222222,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
40,"gwp_375330075335505","Groundwater","#5",67016,"Tyson Farms, Inc.","Manufacturing",37.891592622637,-75.559116761947,51001,NA,"rgreen",102.7316,112.0774,153.2597,151.9066,143.6501,132.73,"Accomack County",1,NA
41,"gwp_375148075303201","Groundwater","U-51",67207,"Us Nasa -Goddard Space Flight Center - Island System","Commercial",37.863333333333,-75.508888888889,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
42,"gwp_375136075303901","Groundwater","U-52",67207,"Us Nasa -Goddard Space Flight Center - Island System","Commercial",37.86,-75.510833333333,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
51,"gwp_375823075321301","Groundwater","North Well #1",66883,"Kmx Chemical Corporation","Agriculture",37.976944444444,-75.538333333333,51001,NA,"rgreen",0.045348,NA,NA,NA,NA,0.05,"Accomack County",1,NA
52,"gwp_375626075272503","Groundwater","Field 3 meter",67083,"Chincoteague Town Of","Municipal",37.941444444444,-75.455694444444,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
54,"gwp_375123075333401","Groundwater","Public Water Supply 1 (WS-1)",67278,"Integrated Fisheries International Limited","Commercial",37.856138888889,-75.559638888889,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
55,"gwp_375642075274401","Groundwater","#6",67083,"Chincoteague Town Of","Municipal",37.945,-75.453888888889,51001,NA,"rgreen",51.98,44.691,42.883,48.593,45.526,46.73,"Accomack County",1,NA
56,"gwp_375024075334800","Groundwater","#1 (Emergency)",67129,"Triangle Mobile Home Park","Municipal",37.840111111111,-75.563222222222,51001,NA,"rgreen",NA,0,NA,0,0,0,"Accomack County",1,NA
57,"gwp_375024075334700","Groundwater","Production (DEQ#100-364)",67129,"Triangle Mobile Home Park","Municipal",37.840083333333,-75.563083333333,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
58,"gwp_375838075321801","Groundwater","South Well #2",66883,"Kmx Chemical Corporation","Agriculture",37.977222222222,-75.538333333333,51001,NA,"rgreen",3.9031,NA,NA,NA,NA,3.9,"Accomack County",1,NA
59,"gwp_372844075474201","Groundwater","P-1 Main Well (&WQ)",67002,"Virginia Landing Campground","Municipal",37.48225,-75.791861111111,51001,NA,"rgreen",3.569,5.747,5.46,2.129,1.709,3.72,"Accomack County",1,NA
60,"gwp_375731075270301","Groundwater","Trails End #1",67315,"Trails End Utility Company Incorporated","Commercial",37.958611111111,-75.450833333333,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
61,"gwp_375550075275401","Groundwater","#7A",67083,"Chincoteague Town Of","Municipal",37.935972222222,-75.460861111111,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
62,"gwp_375557075274901","Groundwater","#7B",67083,"Chincoteague Town Of","Municipal",37.936583333333,-75.46,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
63,"gwp_375604075274201","Groundwater","Well 7C",67083,"Chincoteague Town Of","Municipal",37.938611111111,-75.459,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
64,"gwp_374425075393005","Groundwater","P-#5",67227,"Perdue Farms Incorporated","Manufacturing",37.734611111111,-75.653444444444,51001,NA,"rgreen",105.499,109.726,105.576,102.6767,90.4455,102.78,"Accomack County",1,NA
65,"gwp_375257075332106","Groundwater","#6",67016,"Tyson Farms, Inc.","Manufacturing",37.885777777778,-75.559583333333,51001,NA,"rgreen",79.1079,64.7166,64.5973,57.3794,54.7906,64.12,"Accomack County",1,NA
66,"gwp_375144075303401","Groundwater","#3",67207,"Us Nasa -Goddard Space Flight Center - Island System","Commercial",37.862222222222,-75.509444444444,51001,NA,"rgreen",7.210087,5.89714,4.674687,8.555651,7.70973,6.81,"Accomack County",1,NA
67,"gwp_372931075465800","Groundwater","P-3 Sales Bldg - Inactive",67002,"Virginia Landing Campground","Municipal",37.491888888889,-75.782777777778,51001,NA,"rgreen",0,0,NA,NA,NA,0,"Accomack County",1,NA
68,"gwp_375732075265101","Groundwater","Trails End #2",67315,"Trails End Utility Company Incorporated","Commercial",37.958888888889,-75.4475,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
69,"gwp_375122075332801","Groundwater","100-843",67278,"Integrated Fisheries International Limited","Commercial",37.853611111111,-75.558083333333,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
70,"gwp_375128075304501","Groundwater","#4",67207,"Us Nasa -Goddard Space Flight Center - Island System","Commercial",37.859444444444,-75.510833333333,51001,NA,"rgreen",3.456227,5.958753,3.724424,6.900689,6.592894,5.33,"Accomack County",1,NA
