"MP_hydroid","Hydrocode","Source Type","MP_name","Year","Water Use MGY","Water Use (MGD)","MPID","DEQ Well Number","MP_latitude","MP_longitude","facility_hydroid","facility_name","facility_status","facility_use_type","FIPS_code","locality"
"15","gwp_375318075334404","Well","#4","2020","136.8594","0.37","375318075334404","100-00009","37.889305555556","-75.562750000000","67016","Tyson Farms, Inc.","active","industrial","51001","Accomack"
"16","gwp_375311075333903","Well","#3","2020","78.9199","0.22","375311075333903","100-00010","37.887138888889","-75.560333333333","67016","Tyson Farms, Inc.","active","industrial","51001","Accomack"
"17","gwp_375304075333202","Well","#2","2020","89.276","0.24","375304075333202","100-00011","37.884527777778","-75.558972222222","67016","Tyson Farms, Inc.","active","industrial","51001","Accomack"
"23","gwp_373740075400001","Well","P-#4A","2020","21.1674","0.06","373740075400001","100-00020","37.734083333333","-75.653444444444","67227","Perdue Farms Incorporated","active","industrial","51001","Accomack"
"27","gwp_373745075400001","Well","P-#2","2020","153.6024","0.42","373745075400001","100-00026","37.738638888889","-75.652666666667","67227","Perdue Farms Incorporated","active","industrial","51001","Accomack"
"28","gwp_375633075272104","Well","#4","2020","43.71","0.12","375633075272104","100-00028","37.942388888889","-75.455722222222","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"29","gwp_373755075400001","Well","P-#3","2020","205.2847","0.56","373755075400001","100-00029","37.741694444444","-75.655805555556","67227","Perdue Farms Incorporated","active","industrial","51001","Accomack"
"30","gwp_374309075385801","Well","P-#1","2020","61.7673","0.17","374309075385801","100-00030","37.735722222222","-75.649527777778","67227","Perdue Farms Incorporated","active","industrial","51001","Accomack"
"31","gwp_375836075250801","Well","#2","2020","8.6016","0.02","375836075250801","100-00031","37.994694444444","-75.417388888889","67257","Captain's Cove Utility Company, Inc.","active","commercial","51001","Accomack"
"32","gwp_375626075272305","Well","#5","2020","0","0.00","375626075272305","100-00032","37.940888888889","-75.456333333333","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"36","gwp_375911075252805","Well","#3","2020","5.07061","0.01","375911075252805","100-00039","38.003222222222","-75.425833333333","67257","Captain's Cove Utility Company, Inc.","active","commercial","51001","Accomack"
"37","gwp_374528075372101","Well","Well #1","2020","0","0.00","374528075372101","100-00041","37.757777777778","-75.622500000000","66899","Riverside Shore Rehabilitation Center","active","commercial","51001","Accomack"
"38","gwp_375323075260601","Well","#1 (WQ)","2020","0","0.00","375323075260601","100-00165","37.989444444444","-75.424527777778","67257","Captain's Cove Utility Company, Inc.","active","commercial","51001","Accomack"
"39","gwp_374420075393801","Well","#4","2020","0","0.00","374420075393801","100-00195","37.738944444444","-75.660472222222","67227","Perdue Farms Incorporated","active","industrial","51001","Accomack"
"40","gwp_375330075335505","Well","#5","2020","151.9066","0.42","375330075335505","100-00196","37.891592622637","-75.559116761947","67016","Tyson Farms, Inc.","active","industrial","51001","Accomack"
"41","gwp_375148075303201","Well","U-51","2020","0","0.00","375148075303201","100-00197","37.863333333333","-75.508888888889","67207","US NASA -Goddard Space Flight Center - Island System","active","commercial","51001","Accomack"
"42","gwp_375136075303901","Well","U-52","2020","0","0.00","375136075303901","100-00199","37.860000000000","-75.510833333333","67207","US NASA -Goddard Space Flight Center - Island System","active","commercial","51001","Accomack"
"52","gwp_375626075272503","Well","Field 3 meter","2020","0","0.00","375626075272503","100-00265","37.941444444444","-75.455694444444","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"54","gwp_375123075333401","Well","Public Water Supply 1 (WS-1)","2020","0","0.00","375123075333401","100-00291","37.856138888889","-75.559638888889","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"55","gwp_375642075274401","Well","#6","2020","48.593","0.13","375642075274401","100-00320","37.945000000000","-75.453888888889","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"56","gwp_375024075334800","Well","#1 (Emergency)","2020","0","0.00","375024075334800","100-00323","37.840111111111","-75.563222222222","67129","Triangle Mobile Home Park","active","municipal","51001","Accomack"
"57","gwp_375024075334700","Well","Production (DEQ#100-364)","2020","0","0.00","375024075334700","100-00364","37.840083333333","-75.563083333333","67129","Triangle Mobile Home Park","active","municipal","51001","Accomack"
"59","gwp_372844075474201","Well","P-1 Main Well (&WQ)","2020","2.129","0.01","372844075474201","100-00439","37.482250000000","-75.791861111111","67002","Virginia Landing Campground","active","municipal","51001","Accomack"
"60","gwp_375731075270301","Well","Trails End #1","2020","0","0.00","375731075270301","100-00453","37.958611111111","-75.450833333333","67315","Trails End Utility Company Incorporated","active","municipal","51001","Accomack"
"61","gwp_375550075275401","Well","#7A","2020","0","0.00","375550075275401","100-00493","37.935972222222","-75.460861111111","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"62","gwp_375557075274901","Well","#7B","2020","0","0.00","375557075274901","100-00494","37.936583333333","-75.460000000000","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"63","gwp_375604075274201","Well","Well 7C","2020","0","0.00","375604075274201","100-00495","37.938611111111","-75.459000000000","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"64","gwp_374425075393005","Well","P-#5","2020","102.6767","0.28","374425075393005","100-00531","37.734611111111","-75.653444444444","67227","Perdue Farms Incorporated","active","industrial","51001","Accomack"
"65","gwp_375257075332106","Well","#6","2020","57.3794","0.16","375257075332106","100-00566","37.885777777778","-75.559583333333","67016","Tyson Farms, Inc.","active","industrial","51001","Accomack"
"66","gwp_375144075303401","Well","#3","2020","8.555651","0.02","375144075303401","100-00568","37.862222222222","-75.509444444444","67207","US NASA -Goddard Space Flight Center - Island System","active","commercial","51001","Accomack"
"68","gwp_375732075265101","Well","Trails End #2","2020","0","0.00","375732075265101","100-00803","37.958888888889","-75.447500000000","67315","Trails End Utility Company Incorporated","active","municipal","51001","Accomack"
"69","gwp_375122075332801","Well","100-843","2020","0","0.00","375122075332801","100-00843","37.853611111111","-75.558083333333","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"70","gwp_375128075304501","Well","#4","2020","6.900689","0.02","375128075304501","100-00844","37.859444444444","-75.510833333333","67207","US NASA -Goddard Space Flight Center - Island System","active","commercial","51001","Accomack"
"71","gwp_375626075272501","Well","#3A","2020","0.454","0.00","375626075272501","100-00850","37.941444444444","-75.455694444444","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"72","gwp_375626075272502","Well","#3B","2020","0.353","0.00","375626075272502","100-00851","37.940694444444","-75.456722222222","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"73","gwp_375626075272504","Well","#3C","2020","0.302","0.00","375626075272504","100-00852","37.939666666667","-75.456888888889","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"74","gwp_375006075344499","Well","Plant MW (&WL)","2020","0","0.00","375006075344499","100-00853","37.835000000000","-75.578888888889","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"75","gwp_375014075350399","Well","Housing MW (&WL)","2020","0","0.00","375014075350399","100-00854","37.838250000000","-75.584083333333","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"76","gwp_375006075344401","Well","Plant Production #1","2020","0","0.00","375006075344401","100-00855","37.835250000000","-75.578555555556","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"77","gwp_373918075491201","Well","17 N","2020","7.99598","0.02","373918075491201","100-00856","37.654972222222","-75.819861111111","67349","Eastern Shore Yacht and Country Club","active","commercial","51001","Accomack"
"78","gwp_373914075491701","Well","12 S (&WQ)","2020","0.002233","0.00","373914075491701","100-00857","37.653888888889","-75.821333333333","67349","Eastern Shore Yacht and Country Club","active","commercial","51001","Accomack"
